unique_id,session_duration,download_speed,upload_speed,consumed_traffic
035e8638-27b9-451b-bf84-862427f5bc38,16565,659,223,1851242
bedab971-faa7-4d1d-934b-443b38397b57,19956,635,731,325874
292bb620-39b3-45cf-81cf-f38e93721dc7,5897,877,129,1038333
73749cbd-22e3-4f7a-83fa-e565d1a89be2,14228,891,141,804654
2bf4b1c1-5e3d-4df8-8fc1-4d534b5ba8bd,13922,34,606,831467
1dc75d29-4f1b-47c5-a93b-f6657cc48e94,32506,393,244,714168
70d6f626-8576-4fbb-b1f1-34a731a7c65b,12176,835,86,1319821
579e1f0e-53ca-4ae0-844c-871727c6659e,20908,608,153,1778603
5db32443-c672-4fa7-baf4-1f54caa6ca5f,1469,905,6,606082
8a3e4a0a-1d9e-4896-9f08-1581707e0865,8982,366,550,131188
343f331a-ac58-4624-86df-f5341fa45979,11973,838,8,389439
7f8a5b3e-6590-4f78-ba4e-c5632f58eb3e,4668,847,420,1041825
af519660-6dd7-4b79-b62a-9f0780e36081,18224,794,640,525323
ef6379fd-5491-4885-b84b-167362a8b687,15564,860,658,1579748
42fc2df0-818f-494e-ae43-ee2a7414eb59,21577,685,788,909532
d9815b2c-a5d2-4063-912b-1792f28659b6,26672,921,184,1983021
feb566fa-6416-4b33-8581-55d9fe1c84d1,16719,616,451,1100559
e4213c0f-7419-4dfb-b7b6-0a6412a47430,6599,456,703,1447154
103bbf13-93e2-49c0-ad54-f6ca10241fa3,4644,823,296,1639404
b3357bbb-88cc-45d0-9eab-3489b814ffc4,35460,156,527,1304663
bfdfa830-d1af-4c84-b43b-a7c0f7a99ad0,17900,837,766,1268279
e3e16d52-02b0-4a92-9d1f-ba013e17ed65,8644,264,166,274605
0b4ea511-5981-4569-b6fa-6767c898b411,10757,363,364,555605
c6f9e000-8d04-4fab-81e5-6197f4a085b6,26563,144,422,1367787
4762d2b0-906c-4a52-b8c5-5199b923811e,27445,938,536,601649
cea2c18c-57f6-4379-98f8-390027787025,19598,149,603,880581
0dfa5ce7-059c-4fd1-b3ad-9e1f606c838f,14155,372,532,476105
adbf9a74-a1e5-4d50-8980-9f002b0aa875,16180,159,406,1372980
a7f15770-c8a7-4650-8db0-b88b8b53a3fb,33714,991,339,1613299
bf1dbd5d-9358-424d-9a5d-6ee0b5db4851,23822,7,326,1198837
14a22a3e-ca4c-4a54-8ab5-c606df9cc929,13637,933,154,777040
705f03bc-fd11-4362-81b6-c5c5d21eec68,26860,630,726,783121
f699d546-64fe-434e-b6a2-d055a59cde58,2333,138,199,1193397
afc02a8f-2275-4060-88df-d52cf200add5,29813,217,547,1915584
7636b598-26a3-42b2-a7dc-d8c2f12033b0,34005,709,735,710071
1f4ac891-5368-4919-b84a-f3552a29940a,20575,775,629,1135933
8f56617e-9eff-4727-a772-fac3f477a20a,30716,808,404,814576
092f0f2a-5db3-45ee-8498-b98fab50103a,19171,166,442,1973559
2de6f365-d167-41a9-a49d-e057a7668fe5,15630,186,13,1313765
499bdef4-25b7-40d2-b8c1-6b81a9fa2dfe,19483,442,688,1706009
632d0299-acab-4db0-8a15-fb844123f99f,23827,166,250,1113020
120a409e-f738-4b8a-96bd-a2cc159a050e,22401,134,310,4501
ec1fd271-4607-40a6-a508-5f9654c46fc7,6081,122,321,1188288
0117e843-a090-4ea4-b1df-61089aedb9a5,29477,702,611,1204117
5d6504f2-be1c-4029-a730-3f7dfaa7e88f,34394,564,352,1164381
85b65971-9f70-464e-8d94-5348950151d0,20674,862,115,440428
5618be86-2df6-4254-95ef-8a0c947929ab,6924,672,728,345401
42539506-62ad-4b0b-8347-6b29c31c32bd,10975,673,690,1534150
9ae45597-95f0-4d9a-b763-eb8921aedb85,21244,439,108,1434561
14001963-a88d-4ed5-9cd7-d2ed42376141,30362,149,246,455289
cdd5fef5-2f3d-45e4-a173-5904aaf085e4,22241,942,568,409020
a2f8f421-77ef-4f0e-aaff-f679245fcc70,26589,938,467,194196
2bf36f21-4727-4937-b4cc-e033097cda79,16384,999,545,894890
1eca45ea-df22-4e67-a382-d7de2dfda746,7989,546,414,1136473
997dcaa3-ea57-4fec-8df6-2532a4f3378c,5595,522,322,1638076
18a76d0c-2ff9-46cc-b585-4603e8060117,13733,74,64,1796841
75f90cdd-329a-413c-bb30-bd9a4897c76e,11314,883,529,417520
b665a4d2-6f16-43f7-9dde-5a98cd8d8fc4,24028,908,46,1910452
27213797-5a62-45f3-b4db-e93f66c117c9,5035,251,354,26375
f3d6a595-13e6-4246-8bc1-d9e162bbd23f,20142,654,190,1225418
e772c8f0-bcd3-4eb7-acac-d10f4bf1d660,30720,958,550,11043
30af785e-3011-4460-90c4-67678ab582f2,28123,364,291,1997417
020df1d3-8e77-48cd-bc90-54351a0d211d,25470,208,713,21689
